"id_detail_transaksi","id_transaksi","id_makanan","jumlah"
1,1,1,1
2,2,1,2
3,3,1,3
4,4,1,1
5,5,1,2
6,7,1,1
7,8,1,2
8,9,1,3
9,10,1,3
10,11,1,1
11,12,1,3
12,13,1,1
13,14,1,2
14,15,1,3
15,16,1,1
16,17,1,1
17,18,1,3
18,20,1,1
19,21,1,3
20,22,1,1
21,24,1,2
22,25,1,3
23,26,1,2
24,27,1,3
25,29,1,1
26,30,1,1
27,31,1,2
28,32,1,3
29,33,1,1
30,34,1,3
31,35,1,1
32,36,1,1
33,37,1,3
34,38,1,1
35,40,1,1
36,41,1,1
37,42,1,3
38,43,1,3
39,44,1,1
40,45,1,1
41,46,1,2
42,47,1,3
43,48,1,3
44,49,1,1
45,50,1,1
46,51,1,3
47,52,1,2
48,53,1,3
49,54,1,1
50,55,1,1
51,56,1,1
52,57,1,1
53,58,1,1
54,59,1,3
55,60,1,1
56,61,1,1
57,64,1,3
58,65,1,3
59,66,1,3
60,67,1,3
61,68,1,1
62,69,1,1
63,70,1,3
64,71,1,1
65,72,1,1
66,73,1,3
67,74,1,3
68,75,1,3
69,76,1,1
70,77,1,3
71,78,1,3
72,79,1,3
73,80,1,3
74,81,1,3
75,82,1,1
76,83,1,2
77,84,1,1
78,86,1,2
79,87,1,3
80,88,1,1
81,89,1,2
82,90,1,3
83,91,1,2
84,92,1,2
85,93,1,1
86,94,1,3
87,95,1,2
88,96,1,3
89,98,1,3
90,100,1,1
91,101,1,1
92,102,1,1
93,103,1,1
94,104,1,3
95,105,1,3
96,106,1,2
97,107,1,1
98,108,1,3
99,109,1,1
100,110,1,1
101,112,1,2
102,113,1,3
103,114,1,3
104,115,1,3
105,116,1,1
106,117,1,3
107,118,1,1
108,119,1,2
109,121,1,2
110,122,1,3
111,123,1,3
112,124,1,3
113,125,1,1
114,126,1,3
115,127,1,1
116,128,1,3
117,129,1,1
118,130,1,1
119,131,1,1
120,132,1,3
121,133,1,1
122,134,1,1
123,135,1,1
124,136,1,3
125,137,1,1
126,138,1,3
127,139,1,2
128,140,1,3
129,141,1,3
130,142,1,3
131,143,1,3
132,144,1,2
133,146,1,2
134,148,1,1
135,149,1,1
136,150,1,3
137,151,1,3
138,152,1,3
139,153,1,3
140,154,1,2
141,155,1,1
142,156,1,3
143,157,1,1
144,158,1,3
145,159,1,3
146,160,1,1
147,161,1,1
148,162,1,2
149,163,1,2
150,164,1,1
151,165,1,1
152,166,1,3
153,167,1,1
154,168,1,3
155,169,1,2
156,170,1,2
157,171,1,3
158,172,1,3
159,173,1,2
160,174,1,1
161,175,1,3
162,176,1,1
163,177,1,1
164,178,1,3
165,179,1,3
166,180,1,2
167,181,1,1
168,183,1,3
169,184,1,1
170,185,1,1
171,186,1,2
172,187,1,2
173,188,1,3
174,189,1,2
175,190,1,3
176,192,1,3
177,193,1,2
178,194,1,1
179,195,1,1
180,196,1,1
181,197,1,3
182,198,1,1
183,199,1,2
184,200,1,3
185,201,1,3
186,202,1,1
187,203,1,1
188,204,1,1
189,205,1,3
190,207,1,1
191,208,1,2
192,209,1,3
193,210,1,1
194,211,1,3
195,212,1,3
196,213,1,1
197,216,1,2
198,217,1,3
199,218,1,1
200,219,1,1
201,220,1,3
202,221,1,3
203,222,1,3
204,223,1,1
205,224,1,3
206,225,1,1
207,226,1,2
208,228,1,3
209,229,1,2
210,230,1,3
211,231,1,1
212,232,1,1
213,233,1,3
214,235,1,2
215,236,1,1
216,237,1,3
217,238,1,1
218,239,1,3
219,240,1,1
220,241,1,1
221,242,1,2
222,243,1,3
223,244,1,3
224,245,1,1
225,246,1,1
226,247,1,3
227,249,1,1
228,250,1,3
229,251,1,1
230,252,1,1
231,253,1,1
232,254,1,3
233,255,1,3
234,256,1,1
235,257,1,1
236,258,1,1
237,259,1,3
238,260,1,1
239,261,1,1
240,262,1,3
241,263,1,1
242,264,1,2
243,266,1,2
244,267,1,1
245,268,1,1
246,269,1,1
247,270,1,3
248,271,1,3
249,272,1,3
250,273,1,1
251,274,1,1
252,275,1,1
253,276,1,1
254,277,1,1
255,278,1,3
256,281,1,1
257,282,1,1
258,283,1,1
259,284,1,1
260,285,1,1
261,286,1,1
262,287,1,2
263,288,1,3
264,290,1,3
265,291,1,1
266,292,1,1
267,293,1,2
268,294,1,2
269,295,1,1
270,296,1,1
271,297,1,1
272,298,1,3
273,299,1,3
274,300,1,2
275,301,1,1
276,302,1,1
277,303,1,1
278,304,1,2
279,305,1,1
280,307,1,1
281,309,1,1
282,310,1,3
283,311,1,1
284,312,1,3
285,313,1,2
286,314,1,1
287,315,1,2
288,316,1,1
289,317,1,3
290,318,1,1
291,319,1,3
292,320,1,3
293,321,1,1
294,323,1,3
295,324,1,3
296,325,1,1
297,326,1,2
298,327,1,3
299,328,1,1
300,329,1,2
301,330,1,1
302,331,1,3
303,332,1,2
304,333,1,1
305,334,1,1
306,335,1,3
307,336,1,3
308,337,1,3
309,338,1,2
310,339,1,3
311,340,1,3
312,341,1,1
313,342,1,1
314,344,1,3
315,345,1,1
316,346,1,1
317,347,1,3
318,348,1,3
319,349,1,2
320,350,1,1
321,351,1,3
322,352,1,1
323,353,1,1
324,354,1,1
325,356,1,1
326,357,1,1
327,358,1,1
328,359,1,1
329,360,1,1
330,361,1,3
331,362,1,2
332,364,1,3
333,365,1,1
334,367,1,2
335,368,1,3
336,369,1,3
337,370,1,3
338,371,1,1
339,372,1,1
340,373,1,3
341,374,1,1
342,375,1,2
343,376,1,3
344,377,1,1
345,378,1,3
346,379,1,1
347,381,1,1
348,382,1,1
349,383,1,3
350,384,1,2
351,385,1,3
352,386,1,2
353,389,1,1
354,390,1,3
355,391,1,1
356,394,1,3
357,396,1,1
358,397,1,1
359,398,1,1
360,399,1,3
361,400,1,3
362,401,1,1
363,403,1,3
364,404,1,3
365,405,1,1
366,406,1,3
367,407,1,1
368,408,1,2
369,409,1,3
370,410,1,3
371,411,1,3
372,413,1,2
373,414,1,2
374,415,1,2
375,416,1,1
376,417,1,3
377,418,1,1
378,419,1,3
379,420,1,2
380,421,1,1
381,422,1,1
382,423,1,1
383,425,1,3
384,426,1,1
385,427,1,1
386,428,1,3
387,429,1,3
388,430,1,1
389,431,1,3
390,432,1,1
391,433,1,3
392,434,1,3
393,436,1,3
394,437,1,1
395,438,1,3
396,439,1,1
397,440,1,1
398,441,1,3
399,443,1,1
400,445,1,1
401,446,1,3
402,447,1,2
403,448,1,2
404,449,1,2
405,450,1,3
406,451,1,1
407,454,1,1
408,455,1,3
409,456,1,1
410,457,1,3
411,458,1,1
412,459,1,1
413,460,1,3
414,461,1,3
415,462,1,3
416,463,1,2
417,464,1,2
418,466,1,1
419,467,1,2
420,468,1,3
421,469,1,1
422,470,1,3
423,472,1,1
424,473,1,1
425,475,1,3
426,476,1,1
427,478,1,3
428,479,1,2
429,480,1,1
430,481,1,3
431,482,1,1
432,483,1,2
433,484,1,3
434,485,1,1
435,486,1,1
436,487,1,1
437,489,1,3
438,490,1,1
439,491,1,2
440,492,1,3
441,493,1,2
442,494,1,1
443,495,1,2
444,496,1,1
445,497,1,3
446,498,1,1
447,499,1,2
448,501,1,1
449,502,1,3
450,503,1,1
451,504,1,3
452,505,1,3
453,507,1,1
454,509,1,1
455,510,1,3
456,511,1,2
457,513,1,1
458,514,1,1
459,515,1,3
460,516,1,2
461,517,1,3
