"id_transaksi","id_pelanggan","tanggal_transaksi","pedas","sayuran","metode_pembayaran"
1,195,"2024-04-05",5,"sawi putih","debit"
2,144,"2025-03-05",0,"sawi putih","qris"
3,127,"2024-05-18",0,"sawi hijau","qris"
4,41,"2024-10-24",4,"sawi hijau","debit"
5,59,"2025-02-08",0,"tanpa sayur","cash"
6,101,"2024-10-23",0,"sawi putih","cash"
7,132,"2024-02-17",2,"sawi putih","qris"
8,142,"2025-01-06",4,"sawi putih","qris"
9,147,"2025-02-15",3,"sawi putih","cash"
10,178,"2024-05-11",1,"sawi putih","debit"
11,48,"2024-09-23",1,"sawi putih","cash"
12,62,"2024-02-20",0,"sawi putih","qris"
13,95,"2024-09-25",3,"tanpa sayur","debit"
14,131,"2024-12-22",1,"sawi hijau","cash"
15,134,"2025-03-24",3,"tanpa sayur","cash"
16,49,"2024-06-15",4,"sawi hijau","cash"
17,49,"2024-06-09",2,"sawi putih","cash"
18,195,"2024-08-16",3,"sawi hijau","cash"
19,120,"2024-12-25",2,"sawi hijau","cash"
20,205,"2024-04-12",3,"sawi putih","cash"
21,198,"2024-01-30",0,"sawi hijau","cash"
22,61,"2024-08-10",0,"sawi hijau","cash"
23,136,"2024-03-17",3,"sawi putih","debit"
24,98,"2024-11-12",0,"sawi putih","debit"
25,5,"2025-01-18",4,"sawi putih","debit"
26,158,"2024-09-15",4,"sawi putih","qris"
27,103,"2024-01-28",3,"sawi putih","cash"
28,27,"2024-05-13",2,"tanpa sayur","cash"
29,119,"2024-09-11",4,"sawi putih","cash"
30,198,"2024-01-18",0,"sawi hijau","cash"
31,10,"2024-04-04",3,"sawi hijau","qris"
32,98,"2024-07-14",2,"sawi putih","cash"
33,183,"2024-05-06",4,"tanpa sayur","cash"
34,162,"2024-04-04",0,"sawi putih","cash"
35,119,"2024-11-17",3,"sawi putih","qris"
36,61,"2024-12-18",3,"sawi putih","cash"
37,61,"2024-10-13",0,"sawi putih","cash"
38,110,"2024-11-27",3,"sawi hijau","qris"
39,182,"2024-04-14",0,"tanpa sayur","cash"
40,55,"2024-08-18",4,"sawi hijau","qris"
41,143,"2024-04-02",2,"tanpa sayur","cash"
42,142,"2024-05-15",0,"sawi hijau","debit"
43,78,"2024-03-08",4,"tanpa sayur","qris"
44,27,"2024-07-28",2,"sawi putih","debit"
45,29,"2024-04-22",4,"sawi hijau","transfer"
46,127,"2025-02-08",0,"sawi putih","qris"
47,21,"2024-08-20",0,"sawi putih","cash"
48,214,"2024-12-22",4,"sawi putih","qris"
49,166,"2024-04-21",0,"sawi hijau","qris"
50,41,"2024-02-08",1,"tanpa sayur","cash"
51,176,"2024-04-15",1,"sawi hijau","qris"
52,161,"2024-06-30",2,"sawi hijau","qris"
53,34,"2025-02-05",1,"sawi hijau","qris"
54,155,"2024-08-23",3,"sawi putih","cash"
55,138,"2024-10-08",0,"sawi putih","transfer"
56,114,"2025-02-18",3,"sawi putih","transfer"
57,41,"2024-07-28",1,"sawi hijau","cash"
58,198,"2024-07-17",2,"sawi putih","cash"
59,100,"2024-08-02",3,"sawi putih","cash"
60,146,"2024-08-30",4,"sawi putih","cash"
61,5,"2024-11-08",4,"tanpa sayur","qris"
62,71,"2025-02-13",1,"sawi hijau","qris"
63,95,"2024-01-27",0,"tanpa sayur","qris"
64,51,"2024-11-10",0,"sawi hijau","qris"
65,124,"2024-02-13",4,"sawi putih","cash"
66,137,"2024-02-29",5,"tanpa sayur","cash"
67,168,"2024-06-26",1,"sawi hijau","cash"
68,149,"2025-01-20",4,"tanpa sayur","cash"
69,162,"2024-03-06",2,"sawi putih","cash"
70,212,"2025-03-12",3,"sawi putih","qris"
71,54,"2024-02-25",3,"sawi hijau","cash"
72,212,"2025-02-05",5,"sawi putih","cash"
73,106,"2024-02-18",4,"tanpa sayur","cash"
74,24,"2024-11-23",3,"sawi hijau","debit"
75,65,"2024-05-15",1,"sawi putih","cash"
76,92,"2024-03-27",2,"sawi hijau","debit"
77,61,"2024-11-24",3,"sawi putih","cash"
78,35,"2024-08-18",0,"tanpa sayur","cash"
79,93,"2024-03-26",3,"sawi hijau","qris"
80,200,"2024-10-22",3,"sawi hijau","qris"
81,174,"2024-04-13",4,"tanpa sayur","cash"
82,123,"2024-04-16",3,"tanpa sayur","qris"
83,186,"2024-01-18",4,"sawi hijau","qris"
84,195,"2024-09-24",0,"tanpa sayur","cash"
85,176,"2025-03-30",0,"tanpa sayur","qris"
86,108,"2024-01-05",0,"sawi hijau","cash"
87,99,"2024-04-18",0,"tanpa sayur","cash"
88,168,"2024-11-21",4,"tanpa sayur","qris"
89,14,"2024-07-22",3,"tanpa sayur","cash"
90,75,"2024-09-26",3,"sawi putih","cash"
91,188,"2024-01-25",4,"tanpa sayur","debit"
92,135,"2025-03-02",2,"sawi hijau","cash"
93,66,"2025-01-21",0,"sawi hijau","cash"
94,22,"2024-10-14",1,"sawi putih","cash"
95,34,"2024-11-05",4,"sawi hijau","cash"
96,74,"2024-06-22",1,"sawi putih","qris"
97,166,"2024-04-26",4,"sawi putih","cash"
98,127,"2024-06-29",1,"sawi hijau","qris"
99,181,"2024-04-14",1,"tanpa sayur","cash"
100,119,"2024-03-30",3,"tanpa sayur","qris"
101,92,"2024-11-20",0,"sawi putih","cash"
102,19,"2024-04-23",1,"tanpa sayur","cash"
103,26,"2025-01-04",4,"sawi hijau","cash"
104,114,"2024-09-21",1,"sawi hijau","qris"
105,14,"2024-03-09",2,"sawi hijau","cash"
106,201,"2024-01-23",5,"sawi hijau","cash"
107,25,"2024-12-14",5,"sawi hijau","cash"
108,162,"2024-11-06",1,"sawi hijau","cash"
109,61,"2025-02-02",1,"sawi putih","cash"
110,155,"2024-10-24",1,"sawi hijau","cash"
111,139,"2024-03-07",2,"tanpa sayur","cash"
112,34,"2024-07-16",5,"tanpa sayur","cash"
113,65,"2025-01-31",1,"sawi hijau","cash"
114,176,"2024-04-27",4,"sawi hijau","cash"
115,7,"2024-02-13",3,"sawi hijau","debit"
116,115,"2024-10-03",1,"sawi putih","cash"
117,163,"2024-03-19",1,"sawi hijau","debit"
118,53,"2025-02-19",1,"sawi putih","qris"
